"","Freq.Up.LFQ.B","Freq.Down.LFQ.B","Freq.Up.LFQ.A","Freq.Down.LFQ.A"
"DNJA2_HUMAN",63,0,25,8
"DNJB6_HUMAN",45,0,39,0
"DNJB5_HUMAN",98,0,130,0
"BAG4_HUMAN",54,2,45,0
"BAG2_HUMAN",62,23,24,0
"BAG3_HUMAN",90,0,35,0
"PDIA1_HUMAN",7,0,1,4
"HS90A_HUMAN",32,23,9,1
"HS90B_HUMAN",38,53,1,1
"CH60_HUMAN",66,0,2,4
"GRP78_HUMAN",43,28,17,6
"HSP7C_HUMAN",38,45,27,4
"HSP76_HUMAN",85,0,52,0
"DNJB1_HUMAN",45,0,25,3
"CALX_HUMAN",30,0,2,13
"CDC27_HUMAN",0,32,14,0
"DNJA1_HUMAN",83,52,25,24
"STIP1_HUMAN",44,0,8,0
"HS71L_HUMAN",63,29,47,0
"HSP74_HUMAN",14,17,3,40
"GRP75_HUMAN",23,18,9,2
"BAG6_HUMAN",58,0,39,0
"NASP_HUMAN",0,0,2,0
"F10A1_HUMAN",86,0,24,0
"PPP5_HUMAN",26,0,1,0
"HSP72_HUMAN",41,0,74,0
"TERA_HUMAN",47,52,13,56
"CH10_HUMAN",17,0,7,3
"PFD3_HUMAN",0,0,4,0
"PPID_HUMAN",38,0,13,0
"PRDX4_HUMAN",0,0,1,0
"DNJC3_HUMAN",14,6,11,7
"FKBP8_HUMAN",86,0,77,4
"CDC37_HUMAN",67,10,8,7
"CD37L_HUMAN",170,0,114,3
"GPSM1_HUMAN",0,0,14,0
"WDTC1_HUMAN",45,0,9,48
"DNJA4_HUMAN",142,0,59,7
"DNJA3_HUMAN",55,21,61,0
"TONSL_HUMAN",0,13,4,6
"ERO1A_HUMAN",0,0,20,4
"TTC1_HUMAN",15,3,30,0
"DNJC7_HUMAN",74,0,29,0
"BAG1_HUMAN",54,0,60,0
"EDEM3_HUMAN",21,0,1,5
"CNO10_HUMAN",0,44,48,0
"DJC17_HUMAN",14,0,6,0
"FKB14_HUMAN",0,0,2,0
"HPBP1_HUMAN",59,0,35,5
"DJB11_HUMAN",93,0,58,0
"DNJB4_HUMAN",57,0,68,0
"SRP68_HUMAN",0,9,14,0
"APC7_HUMAN",0,17,1,0
"CHIP_HUMAN",42,25,53,35
"TF3C3_HUMAN",0,6,2,0
"IFT56_HUMAN",0,19,0,20
"TOR1A_HUMAN",0,0,0,5
"IFIT3_HUMAN",24,0,0,14
"GAK_HUMAN",0,1,0,30
"P4HA2_HUMAN",38,0,0,25
"PPIH_HUMAN",0,0,0,4
"PRP6_HUMAN",30,0,0,5
"AHSA1_HUMAN",37,24,0,37
"PSMG1_HUMAN",63,0,0,11
"IFIT2_HUMAN",3,4,0,6
"IFIT1_HUMAN",4,0,0,2
"HS71B_HUMAN",18,8,0,1
"HS71A_HUMAN",14,8,0,1
"ENPL_HUMAN",5,0,0,3
"TCPA_HUMAN",0,0,0,15
"FKBP2_HUMAN",2,0,0,1
"CALR_HUMAN",0,23,0,15
"TCPZ_HUMAN",0,0,0,16
"TCPE_HUMAN",0,0,0,39
"TCPG_HUMAN",0,0,0,11
"PEX5_HUMAN",0,0,0,10
"TCPQ_HUMAN",0,0,0,14
"TCPD_HUMAN",0,10,0,39
"TCPB_HUMAN",0,0,0,36
"PLOD1_HUMAN",0,0,0,2
"IFT88_HUMAN",7,13,0,8
"FKBP5_HUMAN",0,0,0,2
"TTC27_HUMAN",19,0,0,34
"CTR9_HUMAN",22,0,0,8
"TTC37_HUMAN",4,0,0,1
"TT21B_HUMAN",0,20,0,4
"TT30A_HUMAN",0,14,0,18
"TT30B_HUMAN",7,16,0,15
"TPC12_HUMAN",0,11,0,11
"TCPW_HUMAN",0,0,0,50
"DNJC2_HUMAN",13,0,0,5
"TCPH_HUMAN",0,5,0,40
"CRNL1_HUMAN",0,0,0,3
"KLC2_HUMAN",0,0,0,33
"TOR3A_HUMAN",1,0,0,2
"GRPE1_HUMAN",14,0,0,5
"KLC4_HUMAN",0,0,0,24
"PPIE_HUMAN",9,0,0,1
"SGT1_HUMAN",0,0,0,1
"PPIL1_HUMAN",0,10,0,3
"OGT1_HUMAN",12,1,0,0
"SGTA_HUMAN",6,0,0,0
"DJC13_HUMAN",5,0,0,0
"DNJC8_HUMAN",14,0,0,0
"RMP_HUMAN",1,0,0,0
"TOM70_HUMAN",1,7,0,0
"HS74L_HUMAN",13,0,0,0
"TXD12_HUMAN",3,15,0,0
"HSPB1_HUMAN",13,0,0,0
"ERP29_HUMAN",18,0,0,0
"PDIA3_HUMAN",2,0,0,0
"PPIC_HUMAN",22,0,0,0
"HSP13_HUMAN",22,0,0,0
"SERPH_HUMAN",6,0,0,0
"GPSM2_HUMAN",7,0,0,0
"FKBP3_HUMAN",33,0,0,0
"FKBP4_HUMAN",1,0,0,0
"TRAP1_HUMAN",1,0,0,0
"CDC16_HUMAN",3,41,0,0
"EMC2_HUMAN",5,0,0,0
"TXD11_HUMAN",1,0,0,0
"P3H2_HUMAN",15,0,0,0
"DJC10_HUMAN",12,0,0,0
"TTC5_HUMAN",9,0,0,0
"DNJC9_HUMAN",13,0,0,0
"HS105_HUMAN",13,0,0,0
"DNJC1_HUMAN",13,0,0,0
"PFD5_HUMAN",54,0,0,0
"NAA15_HUMAN",4,17,0,0
"SYF1_HUMAN",8,0,0,0
"DJB12_HUMAN",3,0,0,0
"SEC63_HUMAN",1,1,0,0
"BAG5_HUMAN",19,0,0,0
"HYOU1_HUMAN",15,0,0,0
"SRP72_HUMAN",0,4,0,0
"THIO_HUMAN",0,2,0,0
"DNJB2_HUMAN",0,56,0,0
"ASPH_HUMAN",0,1,0,0
"IFIT5_HUMAN",0,1,0,0
"TEBP_HUMAN",0,1,0,0
"CDC23_HUMAN",0,17,0,0
"APC5_HUMAN",0,15,0,0
